Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CVLG","COVENANT LOGISTICS GROUP INC CLASS","Industrials","Equity","8,376,266.28","0.02","8,376,266.28","207,951.00","40.28","United States","NASDAQ","USD","1.00","USD","-"
"KRUS","KURA SUSHI USA INC","Consumer Discretionary","Equity","8,377,780.32","0.02","8,377,780.32","101,808.00","82.29","United States","NASDAQ","USD","1.00","USD","-"
"ALX","ALEXANDERS REIT INC","Real Estate","Equity","8,378,783.00","0.02","8,378,783.00","47,950.00","174.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DFH","DREAM FINDERS HOMES INC CLASS A","Consumer Discretionary","Equity","8,367,787.21","0.02","8,367,787.21","437,417.00","19.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANGO","ANGIODYNAMICS INC","Health Care","Equity","8,349,377.78","0.02","8,349,377.78","836,611.00","9.98","United States","NASDAQ","USD","1.00","USD","-"
"USLM","UNITED STATES LIME AND MINERALS IN","Materials","Equity","8,352,373.40","0.02","8,352,373.40","44,857.00","186.20","United States","NASDAQ","USD","1.00","USD","-"
"BLUE","BLUEBIRD BIO INC","Health Care","Equity","8,343,348.09","0.02","8,343,348.09","2,298,443.00","3.63","United States","NASDAQ","USD","1.00","USD","-"
"IHRT","IHEARTMEDIA INC CLASS A","Communication","Equity","8,337,132.96","0.02","8,337,132.96","2,672,158.00","3.12","United States","NASDAQ","USD","1.00","USD","-"
"MLR","MILLER INDUSTRIES INC","Industrials","Equity","8,322,652.76","0.02","8,322,652.76","243,923.00","34.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BATRA","LIBERTY MEDIA LIBERTY BRAVES CORP","Communication","Equity","8,322,997.20","0.02","8,322,997.20","220,360.00","37.77","United States","NASDAQ","USD","1.00","USD","-"
"CARE","CARTER BANKSHARES INC","Financials","Equity","8,303,141.74","0.02","8,303,141.74","553,174.00","15.01","United States","NASDAQ","USD","1.00","USD","-"
